mass, radius, density
3.4667317482358133e+24 210666.81 9999954.925493432
9.185516907953696e+24 419247.81 9999919.792905942
1.681171269524808e+25 627828.81 9999874.681125473
2.6717534474050074e+25 836409.8099999999 9999819.575616498
3.890366084111037e+25 1044990.8099999999 9999754.473298064
5.337013853615069e+25 1253571.81 9999679.37324074
7.011691155091515e+25 1462152.81 9999594.275201045
8.914388784658837e+25 1670733.81 9999499.179229245
1.1045095423830628e+26 1879314.81 9999394.085531779
1.3403798087176288e+26 2087895.8100000003 9999278.994414028
1.5990482285451832e+26 2296476.8100000005 9999153.906253424
1.8805132093737943e+26 2505057.8100000005 9999018.821485668
2.1847730183005772e+26 2713638.810000001 9998873.740597155
2.5118257836000756e+26 2922219.810000001 9998718.664120533
2.8616694955810494e+26 3130800.8100000015 9998553.592632014
3.2343020070777704e+26 3339381.8100000015 9998378.526749667
3.6297210337484156e+26 3547962.8100000015 9998193.467132287
4.0479241542668374e+26 3756543.810000002 9997998.414478645
4.4889088104529766e+26 3965124.810000002 9997793.369526956
4.9526723073672034e+26 4173705.8100000024 9997578.333054509
5.439211813382599e+26 4382286.810000002 9997353.305877395
5.948524360243774e+26 4590867.810000002 9997118.288850313
6.480606843117348e+26 4799448.810000002 9996873.282866405
7.035456020637285e+26 5008029.810000003 9996618.288857158
7.613068514947163e+26 5216610.810000003 9996353.307792304
8.213440811740573e+26 5425191.810000003 9996078.340679746
8.836569260301074e+26 5633772.810000003 9995793.388565507
9.482450073541172e+26 5842353.810000003 9995498.452533677
1.015107932804251e+27 6050934.810000004 9995193.533706376
1.0842452964095524e+27 6259515.810000004 9994878.633243717
1.1556566785740408e+27 6468096.810000004 9994553.752343781
1.2293416460809035e+27 6676677.810000003 9994218.892242592
1.305299752096703e+27 6885258.810000004 9993874.05421408
1.3835305361757816e+27 7093839.810000004 9993519.239570081
1.464033524264715e+27 7302420.810000004 9993154.449660301
1.546808228706905e+27 7511001.810000004 9992779.685872301
1.631854148247267e+27 7719582.810000004 9992394.949631486
1.7191707680370843e+27 7928163.810000005 9992000.242401086
1.808757559638888e+27 8136744.810000005 9991595.565682128
1.9006139810316078e+27 8345325.810000005 9991180.921013445
1.9947394766156483e+27 8553906.810000006 9990756.309971634
2.0911334772183394e+27 8762487.810000006 9990321.734171059
2.189795400099222e+27 8971068.810000006 9989877.195263825
2.2907246489557307e+27 9179649.810000006 9989422.694939777
2.3939206139288052e+27 9388230.810000006 9988958.234926464
2.4993826716088064e+27 9596811.810000006 9988483.816989146
2.6071101850412946e+27 9805392.810000006 9987999.442930762
2.7171025037332535e+27 10013973.810000006 9987505.11459192
2.829358963659181e+27 10222554.810000006 9987000.833850894
2.9438788872675366e+27 10431135.810000006 9986486.602623586
3.060661583486992e+27 10639716.810000008 9985962.422863526
3.1797063477332027e+27 10848297.810000008 9985428.296561854
3.301012461915424e+27 11056878.810000008 9984884.225747298
3.424579194443291e+27 11265459.810000008 9984330.212486163
3.550405800233929e+27 11474040.810000008 9983766.25888231
3.6784915207188547e+27 11682621.810000008 9983192.367077151
3.8088355838512966e+27 11891202.810000008 9982608.539249612
3.941437204113531e+27 12099783.810000008 9982014.777616132
4.0762955825242967e+27 12308364.810000008 9981411.084430639
4.2134099066464297e+27 12516945.810000008 9980797.461984541
4.3527793505945517e+27 12725526.81000001 9980173.912606688
4.49440307504288e+27 12934107.81000001 9979540.438663375
4.638280227233419e+27 13142688.810000008 9978897.042558309
4.7844099409836435e+27 13351269.810000008 9978243.726732604
