mass, radius, density
2.8164057406162e+30 2.2092704525292e+11 3.1021467344996e-01
5.5712458998636e+30 2.3487996191255e+11 3.0317464563716e-01
8.2799076525927e+30 2.4727356616497e+11 3.0166852764305e-01
1.0971723570072e+31 2.5841581806583e+11 3.0254901794344e-01
1.3839696558515e+31 2.6887651083387e+11 3.0584674031952e-01
1.6505365719482e+31 2.7845976187888e+11 3.0923576345955e-01
1.9198184998384e+31 2.8712326208799e+11 3.0646447944008e-01
2.1886914313056e+31 2.9545066111785e+11 2.9985930313210e-01
2.4542355266845e+31 3.0341109572128e+11 2.9627892332038e-01
2.7189323862576e+31 3.1096225506346e+11 2.9614750681808e-01
3.0082219374512e+31 3.1852071588062e+11 2.9232681670625e-01
3.2741243416781e+31 3.2587834981415e+11 2.8653505388967e-01
3.5352377415082e+31 3.3262050978183e+11 2.8756993857313e-01
3.7947041903321e+31 3.3893427717207e+11 2.9480073607918e-01
4.0542606076345e+31 3.4484794719069e+11 3.0308124644314e-01
4.3358862234586e+31 3.5066459768887e+11 3.0875565366443e-01
4.6011035524333e+31 3.5631975233638e+11 3.0739823221913e-01
4.8718772533020e+31 3.6180969517072e+11 2.9538760807127e-01
5.1683541062106e+31 3.6797616239073e+11 2.5771671200165e-01
5.4783780271698e+31 3.7548956973738e+11 2.1167354538491e-01
5.7419650863596e+31 3.8329474939031e+11 1.9439835088813e-01
6.0057938849013e+31 3.9051399026387e+11 1.9405140729237e-01
6.2835550582096e+31 3.9759608026762e+11 1.9776745718293e-01
6.5404656327086e+31 4.0416386889043e+11 2.0633232390367e-01
6.8001650868930e+31 4.1008258293919e+11 2.1291502157415e-01
7.0826974502384e+31 4.1598958696824e+11 2.1502261603128e-01
7.3450270646758e+31 4.2174350164587e+11 2.1473439526602e-01
7.6033768373196e+31 4.2707006292323e+11 2.1728485623054e-01
7.8867976972176e+31 4.3241673916277e+11 2.1907515928060e-01
8.1648427769599e+31 4.3796866555464e+11 2.0605060918509e-01
8.4509134678813e+31 4.4398909090903e+11 1.7924163253552e-01
8.7510495055930e+31 4.5098381748316e+11 1.5560368884037e-01
9.0164837130893e+31 4.5822068149214e+11 1.4522507242604e-01
9.2765921435120e+31 4.6498868347899e+11 1.4485022251986e-01
9.5542071513379e+31 4.7163362584881e+11 1.4865512360290e-01
9.8121566228368e+31 4.7790129725384e+11 1.5351788402748e-01
1.0090899959921e+32 4.8383447216793e+11 1.5760920417082e-01
1.0347710484572e+32 4.8946814323003e+11 1.6230916455134e-01
1.0624755125098e+32 4.9477779431178e+11 1.6789410262023e-01
1.0882134437103e+32 4.9982833988818e+11 1.7306005478089e-01
1.1136172868589e+32 5.0439975768935e+11 1.8035520756897e-01
1.1408958001817e+32 5.0879936599090e+11 1.9085175110174e-01
1.1672753724025e+32 5.1304944644325e+11 1.9420350230036e-01
1.1979577934882e+32 5.1767460284825e+11 1.7712663300272e-01
1.2260933844995e+32 5.2294773260640e+11 1.5154059697380e-01
1.2546693602467e+32 5.2858313359475e+11 1.3869138493858e-01
1.2809847001327e+32 5.3422168274385e+11 1.3565936653379e-01
1.3086461283760e+32 5.3968442812140e+11 1.3699482556628e-01
1.3365615919014e+32 5.4510591586190e+11 1.4036009352671e-01
1.3622465317007e+32 5.5012072910679e+11 1.4359700815967e-01
1.3897096335624e+32 5.5485146327679e+11 1.4919205348029e-01
1.4161040483902e+32 5.5945714116052e+11 1.5069304340685e-01
1.4438149752867e+32 5.6398263762172e+11 1.5078519096603e-01
1.4695451673974e+32 5.6833101427754e+11 1.5465143131760e-01
1.4986524339008e+32 5.7271603287093e+11 1.5117996188412e-01
1.5268398016717e+32 5.7736836903168e+11 1.4521698986918e-01
1.5524263614599e+32 5.8172855372307e+11 1.4722438881762e-01
1.5802081919703e+32 5.8590039009790e+11 1.5128898275202e-01
1.6060816296192e+32 5.8995382788434e+11 1.5365599914532e-01
1.6345868795769e+32 5.9399208927635e+11 1.5211265526420e-01
1.6627475803332e+32 5.9820630050543e+11 1.4903471160983e-01
